version,codigo_ente,codigo,actividad,fuente_alta,inf_fuente_alta,alta_desde
2016/02 situacion a  01/07/2016,09-00-008-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,nº 1977 de 29/7/2008 (RF 19/12/2008),19/12/2008
2016/02 situacion a  01/07/2016,09-00-003-H-H-000,M72,Investigación y desarrollo,ESTATUTOS,Esc. Const. nº577 de 07/03/1995 (RF 12/07/1995),12/07/1995
2016/02 situacion a  01/07/2016,09-17-052-H-H-000,P854,Educación postsecundaria,ESTATUTOS,Esc. nº1588 de 31/07/2012 (RF 19/10/2012),19/10/2012
2016/02 situacion a  01/07/2016,09-17-052-H-H-000,S9499,Otras actividades asociativas n.c.o.p.,ESTATUTOS,Esc. Const. nº5442 de 21/12/2001 (RF 08/04/2002),08/04/2002
2016/02 situacion a  01/07/2016,09-08-164-H-H-000,M721,Investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc. Const. nº 2586 de 14/10/2005 (RF 18/09/2006),18/09/2006
2016/02 situacion a  01/07/2016,09-00-057-H-H-000,M721,Investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc.const.nº1839 de 31/07/2008 (RF 30/12/2008),30/12/2008
2016/02 situacion a  01/07/2016,09-00-038-H-H-000,N8030,Actividades de investigación,ESTATUTOS,Esc.nº2407 de 30/11/2010 (RF nº2674 de 13/04/2011),13/04/2011
2016/02 situacion a  01/07/2016,09-00-038-H-H-000,Q8690,Otras actividades sanitarias,ESTATUTOS,Esc.nº2407 de 30/11/2010 (RF nº2674 de 13/04/2011),13/04/2011
2016/02 situacion a  01/07/2016,09-08-163-H-H-000,P855,Otra educación,ESTATUTOS,E.C. nº4380 de 13/09/1999(RF nº1342 de 22/11/1999),22/11/1999
2016/02 situacion a  01/07/2016,09-00-048-H-H-000,J5811,Edición de libros,ESTATUTOS,Escritura nº601 de 25/04/1985 (RF 10/12/1984),10/12/1984
2016/02 situacion a  01/07/2016,  09-00-055-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,PROVISIONAL,RF 1006 25/07/1996,25/07/1996
2016/02 situacion a  01/07/2016,09-00-018-H-H-000,M72,Investigación y desarrollo,ESTATUTOS,Esc.nº840 de 28/02/2007 (RF nº2368 30/10/2007),30/10/2007
2016/02 situacion a  01/07/2016,09-08-165-H-H-000,J6209,Otros servicios relacionados con las tecnologías de la información y la informática,ESCRITURA,nº 1156 de 9/10/2006 (RF 08/06/2007),08/06/2007
2016/02 situacion a  01/07/2016,09-00-050-H-H-000,P8559,Otra educación n.c.o.p.,ESTATUTOS,Esc.const.nº1290 de 27/04/2007 (RF 28/05/2007),28/05/2007
2016/02 situacion a  01/07/2016,09-00-069-H-H-000,M7490,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",ESTATUTOS,Esc.nº5340 de 27/12/2000 (RF nº1547 de 16/05/2001),16/05/2001
2016/02 situacion a  01/07/2016,09-08-190-H-H-000,N771,Alquiler de vehículos de motor,ESTATUTOS,Escritura nº1849 de 09/04/2003 (RF 31/10/2003),31/10/2003
2016/02 situacion a  01/07/2016,09-08-153-H-H-000,M721,Investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc. Const nº 556 de 06/03/2002,23/05/2002
2016/02 situacion a  01/07/2016,09-00-072-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Escritura nº464 de 06/02/1996 (RF 26/04/1996),26/04/1996
2016/02 situacion a  01/07/2016,09-08-151-H-H-000,M721,Investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc. Const. nº 284 de 31/01/2001 (RF 26/04/2001),26/04/2001
2016/02 situacion a  01/07/2016,09-00-015-H-H-000,N823,Organización de convenciones y ferias de muestras,ESTATUTOS,Esc. Cons.nº1412 de 12/12/2005(RF 2216;30/06/2006),30/06/2006
2016/02 situacion a  01/07/2016,09-00-053-H-H-000,N829,Actividades de apoyo a las empresas n.c.o.p.,ESTATUTOS,Es.cons.nº 537 de 03/07/2003 (RF 17/12/2003),17/12/2003
2016/02 situacion a  01/07/2016,09-43-099-H-H-000,Q86,Actividades sanitarias,ESTATUTOS,E. C. nº1374 de 03/12/1992(RF nº709 de 14/07/1993),14/07/1993
2016/02 situacion a  01/07/2016,09-00-028-H-H-000,S9499,Otras actividades asociativas n.c.o.p.,ESTATUTOS,Esc. Const. nº2391 de 13/12/2004 (RF 18/10/2005),18/10/2005
2016/02 situacion a  01/07/2016,09-00-017-H-H-000,M72,Investigación y desarrollo,ESTATUTOS,Esc.nº2541 de 26/09/2006 (RF nº2286 de 09/01/2007),09/01/2007
2016/02 situacion a  01/07/2016,09-08-170-H-H-000,P8543,Educación universitaria,ESCRITURA,nº3938 de 11/12/2003 (RF 03/03/2004),03/03/2004
2016/02 situacion a  01/07/2016,09-00-002-H-H-000,P8560,Actividades auxiliares a la educación,ESTATUTOS,Esc.cons.nº 556 de 24/02/1998 (RF 30/06/1998),30/06/1998
2016/02 situacion a  01/07/2016,09-08-184-H-H-000,R910,"Actividades de bibliotecas, archivos, museos y otras actividades culturales",ESTATUTOS,Esc. Const. nº 2883 de 6/06/2005 (RF 17/05/2006),17/05/2006
2016/02 situacion a  01/07/2016,09-00-033-H-H-000,M7490,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",ESTATUTOS,Esc.cons.nº151 de 23/01/1979 (RF 20/01/1992),20/01/1992
2016/02 situacion a  01/07/2016,09-00-046-H-H-000,P855,Otra educación,ESTATUTOS,Escritura nº 1820 de 01/06/1984 (RF 16/09/1985),16/09/1985
2016/02 situacion a  01/07/2016,09-00-037-H-H-000,S9499,Otras actividades asociativas n.c.o.p.,ESTATUTOS,Esc. Cons. nº 1176 de 16/06/2010 (RF12/11/2010),12/11/2010
2016/02 situacion a  01/07/2016,09-00-066-H-H-000,P8543,Educación universitaria,ESTATUTOS,Esc.cons.nº1865 de 24/07/2009 (RF 03/12/2009),03/12/2009
2016/02 situacion a  01/07/2016,09-00-030-H-H-000,S9499,Otras actividades asociativas n.c.o.p.,ESTATUTOS,Escritura nº207 de 20/01/1999 (RF 11/02/2000),11/02/2000
2016/02 situacion a  01/07/2016,09-08-149-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc. Const. nº 2596 de 27/07/2000,05/12/2000
2016/02 situacion a  01/07/2016,09-00-068-H-H-000,N8211,Servicios administrativos combinados,ESTATUTOS,Escritura nº231 de 07/02/2012 (RF 09/04/2012),09/04/2012
2016/02 situacion a  01/07/2016,09-00-059-H-H-000,P8532,Educación secundaria técnica y profesional,ESTATUTOS,Esc.cons.nº3199 de 26/10/1993 (RF 25/03/1994),25/03/1994
2016/02 situacion a  01/07/2016,09-00-013-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Escritura nº 3451 de 29/12/2005 (RF 21/11/2006),21/11/2006
2016/02 situacion a  01/07/2016,09-08-174-H-H-000,M74,"Otras actividades profesionales, científicas y técnicas",ESTATUTOS,E.C. nº5082 de 26/09/1997(RF nº1149 de 03/03/1998),03/03/1998
2016/02 situacion a  01/07/2016,09-08-186-H-H-000,N8299,Otras actividades de apoyo a las empresas n.c.o.p.,ESTATUTOS,constituc. de 02/05/1983 (RF nº13 de 05/09/1983),05/09/1983
2016/02 situacion a  01/07/2016,09-00-020-H-H-000,M7500,Actividades veterinarias,ESTATUTOS,Esc.cons.nº2153 de 30/07/2008 (RF 15/05/2009),15/05/2009
2016/02 situacion a  01/07/2016,09-00-020-H-H-000,P8543,Educación universitaria,ESTATUTOS,Esc.cons.nº2153 de 30/07/2008 (RF 15/05/2009),15/05/2009
2016/02 situacion a  01/07/2016,09-08-185-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Esc.nº1613 de 04/06/1992 (RF 14/07/1993),14/07/1993
2016/02 situacion a  01/07/2016,09-00-045-H-H-000,P8559,Otra educación n.c.o.p.,ESTATUTOS,Esc.Const. nº1015 de 14/06/2010 (RF 22/03/2011),22/03/2011
2016/02 situacion a  01/07/2016,  09-00-043-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,AC.GOV/10/2010 de 26 enero (DOGC 555;28/01/2010),28/01/2010
2016/02 situacion a  01/07/2016,09-08-167-H-H-000,M7220,Investigación y desarrollo experimental en ciencias sociales y humanidades,ESTATUTOS,de const. nº2563 de 22/11/2006 (RF 05/12/2007),05/12/2007
2016/02 situacion a  01/07/2016,09-00-067-H-H-000,M7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,ESTATUTOS,Escritura nº571 de 23/04/2014 (RF 08/04/2015),08/04/2015
2016/02 situacion a  01/07/2016,09-43-084-H-H-000,R91,"Actividades de bibliotecas, archivos, museos y otras actividades culturales",ESTATUTOS,Esc. Const. nº 1515 de 6/08/1998 (RF nº18/01/1999),18/01/1999
2016/02 situacion a  01/07/2016,09-43-084-H-H-000,S9499,Otras actividades asociativas n.c.o.p.,ESTATUTOS,Esc. Const. nº 1515 de 6/08/1998 (RF18/01/1999),18/01/1999
2016/02 situacion a  01/07/2016,09-00-035-H-H-000,P8510,Educación preprimaria,ESTATUTOS,Esc. Const. nº 2002 de 14/05/1998 (RF 26/11/1999),26/11/1999
2016/02 situacion a  01/07/2016,09-00-022-H-H-000,P8560,Actividades auxiliares a la educación,ESTATUTOS,Escritura nº616 de 16/03/2004 (RF 18/06/2004),18/06/2004
2016/02 situacion a  01/07/2016,09-08-191-H-H-000,Q861,Actividades hospitalarias,ESTATUTOS,Escritura nº563 de 14/03/1991 (RF 08/11/1991),08/11/1991
2016/02 situacion a  01/07/2016,09-00-009-H-H-000,Q8610,Actividades hospitalarias,ESTATUTOS,Esc.const. de 18/03/1991 (RF nº632; 15/10/92),15/10/1992
2016/02 situacion a  01/07/2016,09-00-026-H-H-000,M72,Investigación y desarrollo,ESTATUTOS,Esc. Cons. nº1424 de 10/06/1994 (RF 20/07/1994),20/07/1994
2016/02 situacion a  01/07/2016,09-00-064-H-H-000,M722,Investigación y desarrollo experimental en ciencias sociales y humanidades,ESTATUTOS,nº 2658 de 13/12/2004 (RF 2215 - 30/06/2006),30/06/2006
2016/02 situacion a  01/07/2016,09-00-000-X-P-066,F4212,Construcción de vías férreas de superficie y subterráneas,ESTATUTOS,06/05/2003,02/02/2004
2016/02 situacion a  01/07/2016,09-00-000-X-P-085,M7220,Investigación y desarrollo experimental en ciencias sociales y humanidades,ESTATUTOS,Escritura nº1216 de 14/07/2009 (RM 17/09/2009),17/09/2009
2016/02 situacion a  01/07/2016,09-00-000-X-P-072,D3518,Producción de energía eléctrica de origen eólico,ESTATUTOS,nº 1485 de 09/03/1994 (RM 29/06/1994),29/06/1994
2016/02 situacion a  01/07/2016,09-00-000-X-P-082,M7220,Investigación y desarrollo experimental en ciencias sociales y humanidades,ESTATUTOS,Esc.cons.nº 1627 de 01/07/2005 (RM 22/07/2005),22/07/2005
2016/02 situacion a  01/07/2016,09-00-000-X-P-083,Q8811,Actividades de servicios sociales sin alojamiento para personas mayores,ESTATUTOS,Escritura constitución 21/09/2010 (RM 10/11/2010),10/11/2010
2016/02 situacion a  01/07/2016,09-00-000-X-P-076,J620,"Programación, consultoría y otras actividades relacionadas con la informática",ESTATUTOS,Esc. Const. nº3485 de 27/07/1993 (RM 22/10/1993),22/10/1993
2016/02 situacion a  01/07/2016,09-00-000-X-P-076,Q869,Otras actividades sanitarias,ESTATUTOS,Esc. Const. nº3485 de 27/07/1993 (RM 22/10/1993),22/10/1993
2016/02 situacion a  01/07/2016,09-00-000-X-P-064,L6832,Gestión y administración de la propiedad inmobiliaria,ESCRITURA,28/10/1987; Nº 2614,28/10/1987
2016/02 situacion a  01/07/2016,09-00-000-X-P-064,M72,Investigación y desarrollo,ESCRITURA,28.10.1987; Nº 2614,28/10/1987
2016/02 situacion a  01/07/2016,09-00-000-X-P-073,L6820,Alquiler de bienes inmobiliarios por cuenta propia,ESTATUTOS,Escritura nº2900 de 17/07/2001 (RM 15/09/2001),15/09/2001
2016/02 situacion a  01/07/2016,09-00-000-X-P-073,M7022,Otras actividades de consultoría de gestión empresarial,ESTATUTOS,Escritura nº2900 de 17/07/2001 (RM 15/09/2001),15/09/2001
2016/02 situacion a  01/07/2016,09-00-000-X-P-080,Q86,Actividades sanitarias,ESTATUTOS,Esc.cons.nº1367 de 26/05/2000 (RM 27/06/2000),27/06/2000
2016/02 situacion a  01/07/2016,09-00-000-X-P-074,Q86,Actividades sanitarias,ESTATUTOS,Escritura nº2985 de 13/12/1991 (RM 15/04/1992),15/04/1992
2016/02 situacion a  01/07/2016,09-08-001-X-P-001,P8544,Educación terciaria no universitaria,ESCRITURA,27.05.1999,29/06/1999
2016/02 situacion a  01/07/2016,09-00-000-X-P-081,K6420,Actividades de las sociedades holding,ESTATUTOS,Estatutos nº487 de 17/02/2015 (RM 06/03/2015),06/03/2015
2016/02 situacion a  01/07/2016,  09-00-000-X-P-075,Q86,Actividades sanitarias,ESTATUTOS,Provisional,13/12/2001
2016/02 situacion a  01/07/2016,09-00-000-X-P-079,Q88,Actividades de servicios sociales sin alojamiento,ESTATUTOS,Escritura nº2809 de 30/07/1998 (RM 18/11/1998),18/11/1998
2016/02 situacion a  01/07/2016,09-00-000-X-P-077,M7022,Otras actividades de consultoría de gestión empresarial,ESTATUTOS,Esc.cons.nº 2678 de 08/11/1991 (R.M. 14/01/1992),14/01/1992
2016/02 situacion a  01/07/2016,09-00-000-X-P-077,Q,Actividades sanitarias y de servicios sociales,ESTATUTOS,Esc.cons.nº2678 de 08/11/1991 (R.M. 14/01/1992),14/01/1992
2016/02 situacion a  01/07/2016,06-00-000-X-P-011,F4110,Promoción inmobiliaria,ESTATUTOS,escritura de constitución nº 1594 de 13/04/2000,12/06/2000
2016/02 situacion a  01/07/2016,06-00-000-X-P-004,R9200,Actividades de juegos de azar y apuestas,ESTATUTOS,"escritura nº 362/1978, 10-05",15/03/1984
2016/02 situacion a  01/07/2016,06-00-000-X-P-013,F,Construcción,ESTATUTOS,escritura nº 824 de 23/05/2006,17/07/2007
2016/02 situacion a  01/07/2016,06-00-000-B-P-043,C17,Industria del papel,ESTATUTOS,esc. compraventa particip. nº 266 de 08/03/2012,08/03/2012
2016/02 situacion a  01/07/2016,06-00-000-B-P-042,K649,"Otros servicios financieros, excepto seguros y fondos de pensiones",ESTATUTOS,Escritura compraventa particip. nº 266 de 08/03/12,08/03/2012
2016/02 situacion a  01/07/2016,06-00-000-B-P-011,O8425,Protección civil,ESTATUTOS,escritura de constitución nº 1461 de 30/10/1998,07/04/1999
2016/02 situacion a  01/07/2016,06-00-000-B-P-034,M7490,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",ESTATUTOS,escritura de constitución nº 1851 de 29/12/2008,01/10/2009
2016/02 situacion a  01/07/2016,06-00-000-B-P-008,H5229,Otras actividades anexas al transporte,ESTATUTOS,escritura nº 378 de 10/03/1998,18/11/1998
2016/02 situacion a  01/07/2016,06-00-000-B-P-027,N79,"Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos",ESTATUTOS,escritura de constitución nº 3120 de 26/08/2005,06/10/2005
2016/02 situacion a  01/07/2016,06-00-000-B-P-001,N7990,Otros servicios de reservas y actividades relacionadas con los mismos,ESTATUTOS,"8/1981, 30-12 (B.O.E. Núm. 9, 11-01-1982)",30/12/1981
2016/02 situacion a  01/07/2016,06-00-000-B-P-041,P855,Otra educación,ESTATUTOS,escritura de constitución nº 1735 de 26/12/2009,16/12/2010
2016/02 situacion a  01/07/2016,06-00-000-B-P-005,A0240,Servicios de apoyo a la silvicultura,ESTATUTOS,escritura nº 1434 de 19/09/2005,17/10/2005
2016/02 situacion a  01/07/2016,06-00-000-B-P-005,E38,"Recogida, tratamiento y eliminación de residuos; valorización",ESTATUTOS,escritura de constitución nº 765 de 15/04/1991,21/05/1991
2016/02 situacion a  01/07/2016,06-00-000-B-P-010,F412,Construcción de edificios,ESTATUTOS,escritura nº 2532 de 06/07/1999,17/11/1999
2016/02 situacion a  01/07/2016,06-00-000-B-P-007,F412,Construcción de edificios,ESTATUTOS,escritura de constitución nº 906 de 07/05/1993,14/03/1994
2016/02 situacion a  01/07/2016,06-00-000-B-P-007,F421,"Construcción de carreteras y vías férreas, puentes y túneles",ESCRITURA,nº 850 de 03/04/2000,15/06/2000
2016/02 situacion a  01/07/2016,06-00-000-B-P-045,R910,"Actividades de bibliotecas, archivos, museos y otras actividades culturales",ESTATUTOS,de escritura nº 1367 de 09/12/2015,22/12/2015
