version,comunidad,codigo_ente,tipo_ente,accionista_mayoritario,nombre,cif,capital_social,finalidad,regimen_contable,regimen_presupuestario,sector_admin_publica,fuente_alta,alta_desde,ente_proviene,direccion,localidad,codigo_postal,provincia,telefono,fax,sitio_web,email
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-006,SOCIEDADES MERCANTILES,C. Autónoma,"Sociedad para la Transformación Competitiva - Eraldaketa Lehiakorrerako Sozietatea, S.A. (SPRI)",A01021237,"  480.042.600,00","Contribuir a la promoción empresarial mediante realización de estudios, prestación de asesoramiento de servicios. Fomentar la creación de empresas.",Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 21/09/1981 (Ley 5/1981, 10-6)", 21/09/1981, ,Calle Duque de Wellington 2,Vitoria-Gasteiz,01010,Álava,944037000,,www.spri.eus/es/,info@spri.es
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-007,SOCIEDADES MERCANTILES,C. Autónoma,"Parque Tecnológico-Teknologi Elkartegia, S.A.",A48177752,"100.659.700,00","Estimular y promover la iniciativa y la inversión industrial, mediante la creación de una infraestructura que posibilite la implantación de empresas.",Privado,Estimativo,No -                               ,"ESCRITURA   de const. de 30/09/1985 (Dec.288/1985,24-09)",30/09/1985, ,Calle Ibaizabal bidea - Edificio 101 ,Zamudio,48170,Bizkaia,944039500,944039510,www.parke.eus/bizkaia/,bizkaia@parke.eus
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-008,SOCIEDADES MERCANTILES,C. Autónoma,"Gestión de Capital Riesgo del País Vasco SGEIC, S.A.",A48177760,"690.000,00",Administración y gestión de Fondos de Capital-Riesgo y de activos de Sociedad de Capital-Riesgo.,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 04/10/1985 (Dec.294/1985, 17-09)", 04/10/1985, ,"Calle Alameda de Urquijo, 36 - 2ª (Edif.Plaza Bizkaia) 36",Bilbao,48011,Bizkaia,944790192,,www.gestioncapitalriesgo.com,capitalriesgo@spri.es
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-010,SOCIEDADES MERCANTILES,C. Autónoma,"Sociedad Pública de Gestión Ambiental, Ihobe, S.A.",A01024223,"2.843.625,60",Desarrollo de la política ambiental y extensión de la cultura de la sostenibilidad,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 26/01/1983 (Dec. 218/1982, 08-11)",26/01/1983, ,"Calle Alameda Urquijo 36, 6ª p",Bilbao,48011,Bizkaia,944230743,,www.ihobe.eus,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-011,SOCIEDADES MERCANTILES,C. Autónoma,"Sprilur, S.A.",A01024090,"244.598.700,00",Promoción del suelo y edificaciones industriales en el territorio de la Comunidad Autónoma de Euskadi.,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 02/03/1983 (Dec.241/1982, 20-12)", 02/03/1983, ,"Calle Alameda de Urquijo, 36-3º (Edif. Plaza Bizkaia) 36",Bilbao,48011,Bizkaia,944236118,,www.sprilur.es,sprilur@spri.eus
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-013,SOCIEDADES MERCANTILES,C. Autónoma,"Sociedad Pública Eusko Trenbideak - Ferrocarriles Vascos, S.A.U.",A48136550,"17.236.826,20",Prestación de servicios de transporte ferroviario,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const. de 25/06/1982 (Dec.105/1982, 24-05)",25/06/1982, ,Calle Atxuri 6,Bilbao,48006,Bizkaia,944019900,949019901,www.euskotren.eus,igorostiza@euskotren.es
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-014,SOCIEDADES MERCANTILES,C. Autónoma,"Neiker-Instituto Vasco de Investigación y Desarrollo Agrario, S.A.",A48167902,"  4.157.056,00","Investigación en materia de ciencias agrarias, acuáticas, ambientales y en general de recursos naturales",Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de compra-venta 03/06/1988 (Dec.132/1988, 24/05)", 03/06/1988, ,"Parque Tecnológico de Zamudio, Parcela 812. C/Berreaga 1",Derio,48160,Bizkaia,944034300,944034310,www.neiker.eus,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-017,SOCIEDADES MERCANTILES,C. Autónoma,"Centro para el Ahorro y Desarrollo Energético y Minero, S.A.U.",A01025741,"100.000,00",,Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const.nº 621 de 29/03/1983(Dec. 19/1988, 14-2)", 29/03/1983, ,"Calle Alameda de Urquijo, 36 - 1ª (Edif.Plaza Bizkaia) 36",Bilbao,48011,Bizkaia,944035600,,www.eve.eus,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-018,SOCIEDADES MERCANTILES,C. Autónoma,"Sociedad de Hidrocarburos de Euskadi, S.A. (SHESA)",A48149462,"1.114.272,54","Exploración, investigación y explotación de hidrocarburos líquidos",Privado,Estimativo,Si - CCAA                          ,"ESCRITURA   de const.nº8086 de 30/12/1983 (Dec.279/1983,19-12)",30/12/1983, ,"Calle Alameda de Urquijo, 36-1ª (Edif.Plaza Bizkaia) 36",Bilbao,48011,Vizkaia,944035600,944035699,www.eve.eus,
2019/01 situacion a  01/01/2019,País Vasco,15-00-000-B-P-023,SOCIEDADES MERCANTILES,C. Autónoma,"Vivienda y Suelo Euskadi, S.A. - Euskadiko Etxebizitza eta Lurra, E.A. (VISESA)",A20306775,"37.241.708,58","Promoción y rehabilitación de viviendas, preferentemente de protección oficial",Privado,Estimativo,Si - CCAA                          ,"ESCRITURA de const. de 12/02/1990 (Dec.258/1989, 21-11)",26/03/1990, ,- Portal de Gamarra 1A - Bajo 1A,Vitoria,01013,Álava,945214038,945241609,www.visesa.com,gasteiz@visesa.eus
